source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Sale,5 Bed House with En Suite in Karen,"KSh 80,000,000","Karen, Nairobi",5 bed,,,,,2026-02-23T16:23:07.497085
PigiaMe,Sale,4 Bed House with Garden at Karen,"KSh 65,000,000","Karen, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-garden-at-karen-5701132,2026-02-23T16:23:07.539632
PigiaMe,Sale,4 Bed House with Garden at Karen,"KSh 65,000,000","Karen, Nairobi",4 bed,,,,,2026-02-23T16:23:07.543343
PigiaMe,Sale,Strictly Necessary Cookies,,,,,,,,2026-02-23T16:23:07.634212
PigiaMe,Sale,Statistics & Analytics Cookies,,,,,,,,2026-02-23T16:23:07.634876
PigiaMe,Sale,Marketing Cookies,,,,,,,,2026-02-23T16:23:07.635535
PigiaMe,Sale,Functional Cookies,,,,,,,,2026-02-23T16:23:07.636171
PigiaMe,Sale,6 Bed Villa with En Suite in Lavington,"KSh 121,000,000","Lavington, Nairobi",6 bed,,,,https://www.pigiame.co.ke/listings/6-bed-villa-with-en-suite-in-lavington-5642589,2026-02-23T16:23:17.516565
PigiaMe,Sale,5 Bed House with En Suite at Muthaiga Road,"KSh 400,000,000","Muthaiga, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-at-muthaiga-road-5919236,2026-02-23T16:23:17.591933
PigiaMe,Sale,5 Bed House with En Suite at Muthaiga Road,"KSh 400,000,000","Muthaiga, Nairobi",5 bed,,,,,2026-02-23T16:23:17.596975
PigiaMe,Sale,4 Bed Villa with En Suite in South C,"KSh 29,000,000","South C, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-villa-with-en-suite-in-south-c-5726302,2026-02-23T16:23:17.669837
PigiaMe,Sale,4 Bed Villa with En Suite in South C,"KSh 29,000,000","South C, Nairobi",4 bed,,,,,2026-02-23T16:23:17.678351
PigiaMe,Sale,5 Bed Townhouse in Brookside,"KSh 60,000,000","Westlands, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-townhouse-in-brookside-6508979,2026-02-23T16:23:17.732614
PigiaMe,Sale,5 Bed Townhouse in Brookside,"KSh 60,000,000","Westlands, Nairobi",5 bed,,,,,2026-02-23T16:23:17.736367
PigiaMe,Sale,4 Bedroom Maisonette with 2 Units SQ for sale in Kasarani,"KSh 25,000,000","Kasarani, Sportsview, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bedroom-maisonette-with-2-units-sq-for-sale-in-kasarani-6483215,2026-02-23T16:23:17.783559
PigiaMe,Sale,4 Bedroom Maisonette with 2 Units SQ for sale in Kasarani,"KSh 25,000,000","Kasarani, Sportsview, Nairobi",4 bed,,,,https://www.pigiame.co.ketel:+254794114468,2026-02-23T16:23:17.786229
PigiaMe,Sale,4 Bedroom Maisonette with 2 Units SQ for sale in Kasarani,"KSh 25,000,000","Kasarani, Sportsview, Nairobi",4 bed,,,,,2026-02-23T16:23:17.787688
PigiaMe,Sale,5 Bed House with En Suite at Westland,"KSh 130,000,000","Kitisuru, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-at-westland-5881676,2026-02-23T16:23:17.796869
PigiaMe,Sale,5 Bed House with En Suite at Westland,"KSh 130,000,000","Kitisuru, Nairobi",5 bed,,,,,2026-02-23T16:23:17.801592
PigiaMe,Sale,Furnished 4 bedroom townhouse for sale in Lavington,"KSh 50,000,000","Lavington, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/furnished-4-bedroom-townhouse-for-sale-in-lavington-2960603,2026-02-23T16:23:17.853410
PigiaMe,Sale,Furnished 4 bedroom townhouse for sale in Lavington,"KSh 50,000,000","Lavington, Nairobi",4 bed,,,,,2026-02-23T16:23:17.858252
PigiaMe,Sale,5 bedroom villa for sale in Spring Valley,"KSh 64,000,000","Spring Valley, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bedroom-villa-for-sale-in-spring-valley-4218255,2026-02-23T16:23:17.914405
PigiaMe,Sale,5 bedroom villa for sale in Spring Valley,"KSh 64,000,000","Spring Valley, Nairobi",5 bed,,,,https://www.pigiame.co.ketel:+254705894218,2026-02-23T16:23:17.917783
